,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
15052,76336.63999988421,127065.97999987006,118073.24000011728,174300.55000024257,293525.0200008817
15053,83285.7199998842,104951.32499987006,85742.21500011728,96724.38500024259,160251.85500088165
15054,90234.79999988418,82836.66999987006,53411.19000011728,19148.220000242596,26978.690000881645
15055,116311.29499988418,113170.49999987005,101375.68000011728,81291.9050002426,79469.47000088164
15056,142387.78999988417,143504.32999987007,149340.1700001173,143435.59000024258,131960.25000088164
15057,94617.12499988418,75396.29499987008,78640.57000011728,71717.79500024258,66486.21500088164
15058,46846.45999988417,7288.25999987009,7940.970000117275,2.425804268568754e-07,1012.1800008816354
15059,85566.45499988417,8967.539999870089,9048.650000117275,7771.590000242581,10196.355000881635
15060,124286.44999988416,10646.819999870087,10156.330000117276,15543.18000024258,19380.530000881634
15061,15727974.124999885,12597383.31999987,10524471.955000117,8080460.960000243,8630500.570000881
15062,15665830.899999885,12592059.90999987,10606977.495000118,8268179.580000243,9344554.85000088
15063,407085.6499998849,262695.3049998693,249288.47500011884,272694.5000002431,766687.2050008811
15064,407085.6499998849,262695.3049998693,161704.77000011882,77204.29000024308,275449.6050008811
15065,636958.8649998849,519298.5599998694,622082.5400001188,623935.465000243,666602.6250008811
15066,1641428.584999885,1277292.8849998694,809162.0750001188,684288.5100002431,481098.1150008811
15067,1055208.329999885,788598.8349998693,195224.98500011873,62242.145000243094,50629.985000881075
15068,117482.94499988505,140491.67499986943,49288.260000118724,8132.7050002430915,34817.04500088107
15069,66744.33499988505,109887.16499986943,41142.81000011873,6243.605000243091,32878.37000088107
15070,3144635.459999885,2180816.0899998695,2014156.4250001188,1250036.220000243,955831.6700008811
15071,3144635.459999885,2315793.3549998696,2980019.2550001186,2031007.860000243,1532786.5550008812
15072,108816.2949998849,237711.02499986952,1083668.4400001185,792041.2400002431,579870.6750008812
15073,732169.3999998849,690714.6699998695,845993.1850001185,936196.850000243,1139435.9950008814
15074,623353.1049998848,587980.9099998695,728187.5750001185,932440.6700002431,1203502.6650008813
15075,3888215.964999885,3139225.8849998694,2780754.6250001183,1747749.2200002433,2138612.035000881
15076,3983618.279999885,3220437.5549998693,2855840.795000118,1812262.7850002435,2155718.7200008812
15077,95402.31499988493,81211.66999986954,301302.13000011817,962397.7150002436,1446717.4950008814
15078,14464.369999884919,11726.16499986955,230499.6750001182,891730.4000002437,1374324.1300008814
15079,5639410.579999885,4684634.4649998695,2503585.785000118,1430222.0100002438,846282.1100008814
15080,5624946.2099998845,4672908.299999869,2499302.070000118,1429062.3400002439,836453.1350008814
15081,0.0,0.0,987.8700001183897,2298.6850002438296,2161.3250008814503
15082,0.0,0.0,1975.7400001183896,4597.370000243829,3966.790000881451
15083,3539.439999884516,3051.384999869615,6741.9850001183895,9107.25500024383,4935.000000881451
15084,7078.879999884516,6102.769999869615,11508.230000118388,13617.14000024383,5903.2100008814505
15085,3539.439999884516,35112.209999869614,41733.445000118394,204676.20500024382,238823.68500088144
15086,0.0,64121.649999869616,71958.66000011838,395735.27000024385,471744.1600008814
15087,502290.76999988453,409991.5749998696,378071.1150001183,496844.24000024376,617884.2650008815
15088,1004581.5399998846,755861.4999998696,684183.5700001183,597953.2100002437,764024.3700008815
15089,15044269.049999885,12755023.779999869,14100665.575000117,14873015.665000243,18564325.700000882
15090,14600818.099999886,12413952.75999987,13793065.075000117,14584574.030000243,18182470.370000884
15091,220436.20499988645,108430.63999987021,93725.93500011787,53762.80000024289,35957.64000088349
15092,715304.7499998865,523133.6149998703,736795.8000001179,634627.0500002429,1028055.8050008835
15093,924833.2299998866,546059.6799998702,761814.7450001178,641551.4750002429,1050069.8950008836
15094,1695550.0099998864,1127420.7449998702,1349969.075000118,1323471.6650002429,997914.8850008836
15095,1326893.0849998863,1034262.4199998701,1267015.315000118,1274497.700000243,941322.9650008836
15096,3930250.6899998863,2566522.47499987,1237456.2700001183,3984532.745000243,4167588.5600008834
15097,3929195.7949998863,2565768.0299998703,1236356.2100001182,3983663.0700002434,4166588.655000883
15098,1550.4499998860992,1033.6349998703226,1070.6750001180917,1634.0900002433918,1428.3550008833408
